Année publication;;Code région;Nom région
2021;;1;GUADELOUPE
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;28;NORMANDIE
2021;;24;CENTRE-VAL DE LOIRE
2021;;4;LA RÉUNION
2021;;75;NOUVELLE-AQUITAINE
2021;;44;GRAND EST
2021;;75;NOUVELLE-AQUITAINE
2021;;27;BOURGOGNE-FRANCHE-COMTÉ
2021;;76;OCCITANIE
2021;;93;PROVENCE-ALPES-CÔTE D'AZUR
2021;;75;NOUVELLE-AQUITAINE
2021;;76;OCCITANIE
2021;;75;NOUVELLE-AQUITAINE
2021;;11;ÎLE-DE-FRANCE
2021;;93;PROVENCE-ALPES-CÔTE D'AZUR
2021;;2;MARTINIQUE
2021;;27;BOURGOGNE-FRANCHE-COMTÉ
2021;;28;NORMANDIE
2021;;75;NOUVELLE-AQUITAINE
2021;;76;OCCITANIE
2021;;76;OCCITANIE
2021;;53;BRETAGNE
2021;;27;BOURGOGNE-FRANCHE-COMTÉ
2021;;52;PAYS DE LA LOIRE
2021;;76;OCCITANIE
2021;;27;BOURGOGNE-FRANCHE-COMTÉ
2021;;11;ÎLE-DE-FRANCE
2021;;76;OCCITANIE
2021;;24;CENTRE-VAL DE LOIRE
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;24;CENTRE-VAL DE LOIRE
2021;;75;NOUVELLE-AQUITAINE
2021;;3;GUYANE
2021;;44;GRAND EST
2021;;75;NOUVELLE-AQUITAINE
2021;;44;GRAND EST
2021;;75;NOUVELLE-AQUITAINE
2021;;24;CENTRE-VAL DE LOIRE
2021;;11;ÎLE-DE-FRANCE
2021;;76;OCCITANIE
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;75;NOUVELLE-AQUITAINE
2021;;24;CENTRE-VAL DE LOIRE
2021;;11;ÎLE-DE-FRANCE
2021;;28;NORMANDIE
2021;;11;ÎLE-DE-FRANCE
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;93;PROVENCE-ALPES-CÔTE D'AZUR
2021;;28;NORMANDIE
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;11;ÎLE-DE-FRANCE
2021;;76;OCCITANIE
2021;;32;HAUTS-DE-FRANCE
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;76;OCCITANIE
2021;;44;GRAND EST
2021;;76;OCCITANIE
2021;;44;GRAND EST
2021;;44;GRAND EST
2021;;32;HAUTS-DE-FRANCE
2021;;11;ÎLE-DE-FRANCE
2021;;93;PROVENCE-ALPES-CÔTE D'AZUR
2021;;53;BRETAGNE
2021;;44;GRAND EST
2021;;28;NORMANDIE
2021;;75;NOUVELLE-AQUITAINE
2021;;94;CORSE
2021;;27;BOURGOGNE-FRANCHE-COMTÉ
2021;;27;BOURGOGNE-FRANCHE-COMTÉ
2021;;75;NOUVELLE-AQUITAINE
2021;;32;HAUTS-DE-FRANCE
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;52;PAYS DE LA LOIRE
2021;;24;CENTRE-VAL DE LOIRE
2021;;93;PROVENCE-ALPES-CÔTE D'AZUR
2021;;52;PAYS DE LA LOIRE
2021;;76;OCCITANIE
2021;;44;GRAND EST
2021;;75;NOUVELLE-AQUITAINE
2021;;27;BOURGOGNE-FRANCHE-COMTÉ
2021;;32;HAUTS-DE-FRANCE
2021;;52;PAYS DE LA LOIRE
2021;;76;OCCITANIE
2021;;53;BRETAGNE
2021;;76;OCCITANIE
2021;;53;BRETAGNE
2021;;32;HAUTS-DE-FRANCE
2021;;94;CORSE
2021;;11;ÎLE-DE-FRANCE
2021;;93;PROVENCE-ALPES-CÔTE D'AZUR
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;27;BOURGOGNE-FRANCHE-COMTÉ
2021;;52;PAYS DE LA LOIRE
2021;;84;AUVERGNE-RHÔNE-ALPES
2021;;44;GRAND EST
2021;;44;GRAND EST
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2022;;93;PROVENCE-ALPES-CÔTE D'AZUR
2022;;76;OCCITANIE
2022;;76;OCCITANIE
2022;;53;BRETAGNE
2022;;93;PROVENCE-ALPES-CÔTE D'AZUR
2022;;24;CENTRE-VAL DE LOIRE
2022;;44;GRAND EST
2022;;94;CORSE
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;76;OCCITANIE
2022;;24;CENTRE-VAL DE LOIRE
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;93;PROVENCE-ALPES-CÔTE D'AZUR
2022;;11;ÎLE-DE-FRANCE
2022;;76;OCCITANIE
2022;;11;ÎLE-DE-FRANCE
2022;;3;GUYANE
2022;;52;PAYS DE LA LOIRE
2022;;76;OCCITANIE
2022;;24;CENTRE-VAL DE LOIRE
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;44;GRAND EST
2022;;75;NOUVELLE-AQUITAINE
2022;;27;BOURGOGNE-FRANCHE-COMTÉ
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;44;GRAND EST
2022;;11;ÎLE-DE-FRANCE
2022;;32;HAUTS-DE-FRANCE
2022;;11;ÎLE-DE-FRANCE
2022;;76;OCCITANIE
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;11;ÎLE-DE-FRANCE
2022;;32;HAUTS-DE-FRANCE
2022;;27;BOURGOGNE-FRANCHE-COMTÉ
2022;;44;GRAND EST
2022;;76;OCCITANIE
2022;;32;HAUTS-DE-FRANCE
2022;;75;NOUVELLE-AQUITAINE
2022;;52;PAYS DE LA LOIRE
2022;;32;HAUTS-DE-FRANCE
2022;;44;GRAND EST
2022;;93;PROVENCE-ALPES-CÔTE D'AZUR
2022;;52;PAYS DE LA LOIRE
2022;;53;BRETAGNE
2022;;75;NOUVELLE-AQUITAINE
2022;;75;NOUVELLE-AQUITAINE
2022;;75;NOUVELLE-AQUITAINE
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;24;CENTRE-VAL DE LOIRE
2022;;52;PAYS DE LA LOIRE
2022;;24;CENTRE-VAL DE LOIRE
2022;;27;BOURGOGNE-FRANCHE-COMTÉ
2022;;28;NORMANDIE
2022;;28;NORMANDIE
2022;;75;NOUVELLE-AQUITAINE
2022;;75;NOUVELLE-AQUITAINE
2022;;44;GRAND EST
2022;;32;HAUTS-DE-FRANCE
2022;;27;BOURGOGNE-FRANCHE-COMTÉ
2022;;28;NORMANDIE
2022;;28;NORMANDIE
2022;;94;CORSE
2022;;44;GRAND EST
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;93;PROVENCE-ALPES-CÔTE D'AZUR
2022;;27;BOURGOGNE-FRANCHE-COMTÉ
2022;;27;BOURGOGNE-FRANCHE-COMTÉ
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;75;NOUVELLE-AQUITAINE
2022;;76;OCCITANIE
2022;;27;BOURGOGNE-FRANCHE-COMTÉ
2022;;4;LA RÉUNION
2022;;44;GRAND EST
2022;;75;NOUVELLE-AQUITAINE
2022;;53;BRETAGNE
2022;;93;PROVENCE-ALPES-CÔTE D'AZUR
2022;;76;OCCITANIE
2022;;52;PAYS DE LA LOIRE
2022;;2;MARTINIQUE
2022;;11;ÎLE-DE-FRANCE
2022;;24;CENTRE-VAL DE LOIRE
2022;;44;GRAND EST
2022;;76;OCCITANIE
2022;;27;BOURGOGNE-FRANCHE-COMTÉ
2022;;75;NOUVELLE-AQUITAINE
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;76;OCCITANIE
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;44;GRAND EST
2022;;11;ÎLE-DE-FRANCE
2022;;53;BRETAGNE
2022;;76;OCCITANIE
2022;;75;NOUVELLE-AQUITAINE
2022;;1;GUADELOUPE
2022;;75;NOUVELLE-AQUITAINE
2022;;84;AUVERGNE-RHÔNE-ALPES
2022;;76;OCCITANIE
2022;;28;NORMANDIE
2022;;11;ÎLE-DE-FRANCE
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2023;;93;PROVENCE-ALPES-CÔTE D'AZUR
2023;;28;NORMANDIE
2023;;24;CENTRE-VAL DE LOIRE
2023;;24;CENTRE-VAL DE LOIRE
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;11;ÎLE-DE-FRANCE
2023;;32;HAUTS-DE-FRANCE
2023;;93;PROVENCE-ALPES-CÔTE D'AZUR
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;76;OCCITANIE
2023;;53;BRETAGNE
2023;;24;CENTRE-VAL DE LOIRE
2023;;75;NOUVELLE-AQUITAINE
2023;;44;GRAND EST
2023;;44;GRAND EST
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;28;NORMANDIE
2023;;27;BOURGOGNE-FRANCHE-COMTÉ
2023;;44;GRAND EST
2023;;11;ÎLE-DE-FRANCE
2023;;28;NORMANDIE
2023;;93;PROVENCE-ALPES-CÔTE D'AZUR
2023;;24;CENTRE-VAL DE LOIRE
2023;;94;CORSE
2023;;75;NOUVELLE-AQUITAINE
2023;;93;PROVENCE-ALPES-CÔTE D'AZUR
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;75;NOUVELLE-AQUITAINE
2023;;75;NOUVELLE-AQUITAINE
2023;;44;GRAND EST
2023;;3;GUYANE
2023;;75;NOUVELLE-AQUITAINE
2023;;76;OCCITANIE
2023;;53;BRETAGNE
2023;;27;BOURGOGNE-FRANCHE-COMTÉ
2023;;11;ÎLE-DE-FRANCE
2023;;32;HAUTS-DE-FRANCE
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;76;OCCITANIE
2023;;52;PAYS DE LA LOIRE
2023;;27;BOURGOGNE-FRANCHE-COMTÉ
2023;;2;MARTINIQUE
2023;;27;BOURGOGNE-FRANCHE-COMTÉ
2023;;76;OCCITANIE
2023;;44;GRAND EST
2023;;44;GRAND EST
2023;;1;GUADELOUPE
2023;;94;CORSE
2023;;52;PAYS DE LA LOIRE
2023;;24;CENTRE-VAL DE LOIRE
2023;;11;ÎLE-DE-FRANCE
2023;;44;GRAND EST
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;11;ÎLE-DE-FRANCE
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;75;NOUVELLE-AQUITAINE
2023;;11;ÎLE-DE-FRANCE
2023;;93;PROVENCE-ALPES-CÔTE D'AZUR
2023;;76;OCCITANIE
2023;;4;LA RÉUNION
2023;;76;OCCITANIE
2023;;32;HAUTS-DE-FRANCE
2023;;27;BOURGOGNE-FRANCHE-COMTÉ
2023;;44;GRAND EST
2023;;52;PAYS DE LA LOIRE
2023;;28;NORMANDIE
2023;;53;BRETAGNE
2023;;76;OCCITANIE
2023;;76;OCCITANIE
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;53;BRETAGNE
2023;;27;BOURGOGNE-FRANCHE-COMTÉ
2023;;75;NOUVELLE-AQUITAINE
2023;;75;NOUVELLE-AQUITAINE
2023;;11;ÎLE-DE-FRANCE
2023;;76;OCCITANIE
2023;;32;HAUTS-DE-FRANCE
2023;;75;NOUVELLE-AQUITAINE
2023;;75;NOUVELLE-AQUITAINE
2023;;76;OCCITANIE
2023;;76;OCCITANIE
2023;;76;OCCITANIE
2023;;52;PAYS DE LA LOIRE
2023;;44;GRAND EST
2023;;76;OCCITANIE
2023;;27;BOURGOGNE-FRANCHE-COMTÉ
2023;;27;BOURGOGNE-FRANCHE-COMTÉ
2023;;32;HAUTS-DE-FRANCE
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;24;CENTRE-VAL DE LOIRE
2023;;52;PAYS DE LA LOIRE
2023;;75;NOUVELLE-AQUITAINE
2023;;75;NOUVELLE-AQUITAINE
2023;;44;GRAND EST
2023;;11;ÎLE-DE-FRANCE
2023;;93;PROVENCE-ALPES-CÔTE D'AZUR
2023;;84;AUVERGNE-RHÔNE-ALPES
2023;;28;NORMANDIE
